Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),longitude,latitude
Andhra Pradesh,2020-01-31, M,5.48,16635535,41.02,15.9129,79.74
Andhra Pradesh,2020-02-29, M,5.83,16545652,40.9,15.9129,79.74
Andhra Pradesh,2020-03-31, M,5.79,15881197,39.18,15.9129,79.74
Andhra Pradesh,2020-04-30, M,20.51,11336911,33.1,15.9129,79.74
Andhra Pradesh,2020-05-31, M,17.43,12988845,36.46,15.9129,79.74
Andhra Pradesh,2020-06-30, M,3.31,19805400,47.41,15.9129,79.74
Andhra Pradesh,2020-07-31, M,8.34,15431615,38.91,15.9129,79.74
Andhra Pradesh,2020-08-31, M,6.96,15251776,37.83,15.9129,79.74
Andhra Pradesh,2020-09-30, M,6.4,15220312,37.47,15.9129,79.74
Andhra Pradesh,2020-10-31, M,6.59,15157557,37.34,15.9129,79.74
Assam,2020-01-31, M,4.66,13051904,52.98,26.2006,92.9376
Assam,2020-02-29, M,4.41,10088268,40.77,26.2006,92.9376
Assam,2020-03-31, M,4.77,11542888,46.73,26.2006,92.9376
Assam,2020-04-30, M,11.06,6830817,29.55,26.2006,92.9376
Assam,2020-05-31, M,9.55,11367897,48.26,26.2006,92.9376
Assam,2020-06-30, M,0.6,9095944,35.07,26.2006,92.9376
Assam,2020-07-31, M,3.77,10286757,40.88,26.2006,92.9376
Assam,2020-08-31, M,5.53,9781310,39.52,26.2006,92.9376
Assam,2020-09-30, M,1.19,14107641,54.38,26.2006,92.9376
Assam,2020-10-31, M,3.02,11949329,46.84,26.2006,92.9376
Bihar,2020-01-31, M,10.61,26397671,37.72,25.0961,85.3131
Bihar,2020-02-29, M,10.29,26281655,37.35,25.0961,85.3131
Bihar,2020-03-31, M,15.43,25717519,38.69,25.0961,85.3131
Bihar,2020-04-30, M,46.64,16046236,38.17,25.0961,85.3131
Bihar,2020-05-31, M,45.96,16280203,38.16,25.0961,85.3131
Bihar,2020-06-30, M,17.82,23963933,36.86,25.0961,85.3131
Bihar,2020-07-31, M,12.79,24989370,36.14,25.0961,85.3131
Bihar,2020-08-31, M,13.44,23795534,34.59,25.0961,85.3131
Bihar,2020-09-30, M,11.91,26902907,38.35,25.0961,85.3131
Bihar,2020-10-31, M,9.82,25693252,35.7,25.0961,85.3131
Chhattisgarh,2020-01-31, M,9.65,8552172,43.08,21.2787,81.8661
Chhattisgarh,2020-02-29, M,8.38,9195114,45.58,21.2787,81.8661
Chhattisgarh,2020-03-31, M,7.54,9302317,45.59,21.2787,81.8661
Chhattisgarh,2020-04-30, M,3.41,7600448,35.58,21.2787,81.8661
Chhattisgarh,2020-05-31, M,10.5,6991217,35.23,21.2787,81.8661
Chhattisgarh,2020-06-30, M,14.23,7332807,38.48,21.2787,81.8661
Chhattisgarh,2020-07-31, M,10.27,8620294,43.14,21.2787,81.8661
Chhattisgarh,2020-08-31, M,5.63,9050422,42.97,21.2787,81.8661
Chhattisgarh,2020-09-30, M,1.96,9021854,41.14,21.2787,81.8661
Chhattisgarh,2020-10-31, M,6.62,8546847,40.82,21.2787,81.8661
Delhi,2020-01-31, M,22.23,5805284,47.79,28.7041,77.1025
Delhi,2020-02-29, M,14.84,5856307,43.92,28.7041,77.1025
Delhi,2020-03-31, M,17.04,5553805,42.65,28.7041,77.1025
Delhi,2020-04-30, M,16.68,3119274,23.8,28.7041,77.1025
Delhi,2020-05-31, M,42.27,2632404,28.91,28.7041,77.1025
Delhi,2020-06-30, M,18.19,4418914,34.17,28.7041,77.1025
Delhi,2020-07-31, M,20.3,4291053,33.97,28.7041,77.1025
Delhi,2020-08-31, M,13.79,4850107,35.41,28.7041,77.1025
Delhi,2020-09-30, M,12.53,4958373,35.59,28.7041,77.1025
Delhi,2020-10-31, M,6.27,4842698,32.36,28.7041,77.1025
Goa,2020-01-31, M,8.89,416750,35.73,15.2993,74.124
Goa,2020-02-29, M,2.81,478068,38.38,15.2993,74.124
Goa,2020-03-31, M,5.25,411761,33.88,15.2993,74.124
Goa,2020-04-30, M,13.31,500614,44.97,15.2993,74.124
Goa,2020-05-31, M,21.25,378244,37.36,15.2993,74.124
Goa,2020-06-30, M,9.96,489111,42.21,15.2993,74.124
Goa,2020-07-31, M,17.07,458876,42.94,15.2993,74.124
Goa,2020-08-31, M,16.21,473016,43.76,15.2993,74.124
Goa,2020-09-30, M,15.38,425004,38.89,15.2993,74.124
Goa,2020-10-31, M,11.54,392304,34.3,15.2993,74.124
Gujarat,2020-01-31, M,5.54,24126346,48.49,22.2587,71.1924
Gujarat,2020-02-29, M,6.38,24757795,50.11,22.2587,71.1924
Gujarat,2020-03-31, M,6.66,23566641,47.75,22.2587,71.1924
Gujarat,2020-04-30, M,18.71,15288878,35.5,22.2587,71.1924
Gujarat,2020-05-31, M,12.11,17836936,38.23,22.2587,71.1924
Gujarat,2020-06-30, M,3.2,23657055,45.96,22.2587,71.1924
Gujarat,2020-07-31, M,1.84,24276120,46.41,22.2587,71.1924
Gujarat,2020-08-31, M,1.87,22817232,43.55,22.2587,71.1924
Gujarat,2020-09-30, M,3.42,25010199,48.41,22.2587,71.1924
Gujarat,2020-10-31, M,4.03,25970259,50.49,22.2587,71.1924
Haryana,2020-01-31, M,20.34,7693231,43.36,29.0588,76.0856
Haryana,2020-02-29, M,25.77,7322942,44.21,29.0588,76.0856
Haryana,2020-03-31, M,25.05,6641555,39.63,29.0588,76.0856
Haryana,2020-04-30, M,43.22,5647630,44.38,29.0588,76.0856
Haryana,2020-05-31, M,29.02,6437868,40.39,29.0588,76.0856
Haryana,2020-06-30, M,26.7,6951934,42.14,29.0588,76.0856
Haryana,2020-07-31, M,24.18,6800652,39.77,29.0588,76.0856
Haryana,2020-08-31, M,33.5,7113788,47.32,29.0588,76.0856
Haryana,2020-09-30, M,19.68,7132439,39.2,29.0588,76.0856
Haryana,2020-10-31, M,27.31,6698551,40.6,29.0588,76.0856
Himachal Pradesh,2020-01-31, M,16.83,2287632,45.5,31.1048,77.1734
Himachal Pradesh,2020-02-29, M,16.84,2180268,43.3,31.1048,77.1734
Himachal Pradesh,2020-03-31, M,18.76,2021858,41.04,31.1048,77.1734
Himachal Pradesh,2020-04-30, M,2.2,1131128,19.04,31.1048,77.1734
Himachal Pradesh,2020-05-31, M,26.95,1897639,42.7,31.1048,77.1734
Himachal Pradesh,2020-06-30, M,13.47,2199683,41.72,31.1048,77.1734
Himachal Pradesh,2020-07-31, M,24.31,2229456,48.25,31.1048,77.1734
Himachal Pradesh,2020-08-31, M,15.79,2029740,39.42,31.1048,77.1734
Himachal Pradesh,2020-09-30, M,12.04,2237480,41.54,31.1048,77.1734
Himachal Pradesh,2020-10-31, M,13.46,2123965,40.01,31.1048,77.1734
Jammu & Kashmir,2020-01-31, M,21.08,3453025,42.2,33.7782,76.5762
Jammu & Kashmir,2020-02-29, M,20.78,3223513,39.17,33.7782,76.5762
Jammu & Kashmir,2020-03-31, M,15.5,3359107,38.18,33.7782,76.5762
Jammu & Kashmir,2020-05-31, M,18.74,3246493,38.21,33.7782,76.5762
Jammu & Kashmir,2020-06-30, M,17.92,3202336,37.24,33.7782,76.5762
Jammu & Kashmir,2020-07-31, M,10.88,3558889,38.03,33.7782,76.5762
Jammu & Kashmir,2020-08-31, M,11.09,3429950,36.66,33.7782,76.5762
Jammu & Kashmir,2020-09-30, M,16.17,3210281,36.31,33.7782,76.5762
Jammu & Kashmir,2020-10-31, M,16.14,3106691,35.05,33.7782,76.5762
Jharkhand,2020-01-31, M,10.61,10198029,42.92,23.6102,85.2799
Jharkhand,2020-02-29, M,11.85,10425425,44.4,23.6102,85.2799
Jharkhand,2020-03-31, M,8.23,9638115,39.34,23.6102,85.2799
Jharkhand,2020-04-30, M,47.09,5335262,37.69,23.6102,85.2799
Jharkhand,2020-05-31, M,59.23,4145385,37.92,23.6102,85.2799
Jharkhand,2020-06-30, M,20.95,8622722,40.59,23.6102,85.2799
Jharkhand,2020-07-31, M,7.63,9521900,38.27,23.6102,85.2799
Jharkhand,2020-08-31, M,9.76,9331640,38.31,23.6102,85.2799
Jharkhand,2020-09-30, M,8.24,10185670,41.04,23.6102,85.2799
Jharkhand,2020-10-31, M,11.8,10302276,43.08,23.6102,85.2799
Karnataka,2020-01-31, M,2.86,22688028,42.18,15.3173,75.7139
Karnataka,2020-02-29, M,3.61,21677719,40.54,15.3173,75.7139
Karnataka,2020-03-31, M,3.46,22079653,41.14,15.3173,75.7139
Karnataka,2020-04-30, M,29.84,16718395,42.78,15.3173,75.7139
Karnataka,2020-05-31, M,19.97,19397853,43.43,15.3173,75.7139
Karnataka,2020-06-30, M,8.44,24215057,47.29,15.3173,75.7139
Karnataka,2020-07-31, M,4.01,22885616,42.55,15.3173,75.7139
Karnataka,2020-08-31, M,0.5,24094289,43.13,15.3173,75.7139
Karnataka,2020-09-30, M,2.41,20127176,36.66,15.3173,75.7139
Karnataka,2020-10-31, M,1.58,22356390,40.3,15.3173,75.7139
Kerala,2020-01-31, M,5.31,9904534,37.12,10.8505,76.2711
Kerala,2020-02-29, M,7.6,9828023,37.71,10.8505,76.2711
Kerala,2020-03-31, M,8.99,8221728,32.0,10.8505,76.2711
Kerala,2020-04-30, M,16.99,3933276,16.77,10.8505,76.2711
Kerala,2020-05-31, M,17.88,7921962,34.11,10.8505,76.2711
Kerala,2020-06-30, M,9.71,9228268,36.11,10.8505,76.2711
Kerala,2020-07-31, M,7.09,9504420,36.1,10.8505,76.2711
Kerala,2020-08-31, M,10.98,9031944,35.78,10.8505,76.2711
Kerala,2020-09-30, M,5.91,9240913,34.6,10.8505,76.2711
Kerala,2020-10-31, M,3.88,9152881,33.52,10.8505,76.2711
Madhya Pradesh,2020-01-31, M,4.11,23018632,39.42,22.9734,78.6569
Madhya Pradesh,2020-02-29, M,4.57,22711479,39.0,22.9734,78.6569
Madhya Pradesh,2020-03-31, M,2.22,22867164,38.24,22.9734,78.6569
Madhya Pradesh,2020-04-30, M,12.36,19041832,35.45,22.9734,78.6569
Madhya Pradesh,2020-05-31, M,21.98,18443927,38.48,22.9734,78.6569
Madhya Pradesh,2020-06-30, M,6.48,23054646,40.04,22.9734,78.6569
Madhya Pradesh,2020-07-31, M,5.08,23940158,40.88,22.9734,78.6569
Madhya Pradesh,2020-08-31, M,4.7,23619011,40.08,22.9734,78.6569
Madhya Pradesh,2020-09-30, M,3.91,23341952,39.2,22.9734,78.6569
Madhya Pradesh,2020-10-31, M,3.13,23144552,38.47,22.9734,78.6569
Maharashtra,2020-01-31, M,4.95,42596868,44.19,19.7515,75.7139
Maharashtra,2020-02-29, M,4.69,42416317,43.8,19.7515,75.7139
Maharashtra,2020-03-31, M,5.79,40196806,41.91,19.7515,75.7139
Maharashtra,2020-04-30, M,20.9,27689253,34.32,19.7515,75.7139
Maharashtra,2020-05-31, M,15.46,32116847,37.17,19.7515,75.7139
Maharashtra,2020-06-30, M,9.23,39708538,42.71,19.7515,75.7139
Maharashtra,2020-07-31, M,3.89,40998545,41.57,19.7515,75.7139
Maharashtra,2020-08-31, M,6.23,40963616,42.49,19.7515,75.7139
Maharashtra,2020-09-30, M,4.55,42042911,42.75,19.7515,75.7139
Maharashtra,2020-10-31, M,4.1,43317881,43.75,19.7515,75.7139
Meghalaya,2020-01-31, M,1.66,1491093,65.49,25.467,91.3662
Meghalaya,2020-02-29, M,3.59,1346829,60.2,25.467,91.3662
Meghalaya,2020-03-31, M,1.58,1482351,64.74,25.467,91.3662
Meghalaya,2020-04-30, M,10.03,965057,45.99,25.467,91.3662
Meghalaya,2020-05-31, M,5.92,1215064,55.24,25.467,91.3662
Meghalaya,2020-06-30, M,1.15,1350794,58.31,25.467,91.3662
Meghalaya,2020-07-31, M,2.1,1448106,62.96,25.467,91.3662
Meghalaya,2020-08-31, M,3.74,1357643,59.88,25.467,91.3662
Meghalaya,2020-09-30, M,4.29,1459726,64.6,25.467,91.3662
Meghalaya,2020-10-31, M,4.6,1381490,61.18,25.467,91.3662
Odisha,2020-01-31, M,1.9,13743448,39.44,20.9517,85.0985
Odisha,2020-02-29, M,3.12,14280735,41.44,20.9517,85.0985
Odisha,2020-03-31, M,13.08,12272109,39.62,20.9517,85.0985
Odisha,2020-04-30, M,23.76,6865693,25.23,20.9517,85.0985
Odisha,2020-05-31, M,11.41,11730937,37.04,20.9517,85.0985
Odisha,2020-06-30, M,3.77,12903993,37.45,20.9517,85.0985
Odisha,2020-07-31, M,1.88,13614400,38.69,20.9517,85.0985
Odisha,2020-08-31, M,1.42,14154039,39.96,20.9517,85.0985
Odisha,2020-09-30, M,2.1,13608422,38.63,20.9517,85.0985
Odisha,2020-10-31, M,2.18,14094553,39.98,20.9517,85.0985
Puducherry,2020-01-31, M,0.58,457950,37.46,11.9416,79.8083
Puducherry,2020-02-29, M,1.76,493961,40.8,11.9416,79.8083
Puducherry,2020-03-31, M,1.2,421028,34.49,11.9416,79.8083
Puducherry,2020-04-30, M,75.85,117542,39.3,11.9416,79.8083
Puducherry,2020-05-31, M,58.19,172308,33.19,11.9416,79.8083
Puducherry,2020-06-30, M,4.24,367135,30.8,11.9416,79.8083
Puducherry,2020-07-31, M,15.47,386563,36.64,11.9416,79.8083
Puducherry,2020-08-31, M,5.05,396006,33.34,11.9416,79.8083
Puducherry,2020-09-30, M,10.9,411717,36.84,11.9416,79.8083
Puducherry,2020-10-31, M,6.18,428419,36.32,11.9416,79.8083
Punjab,2020-01-31, M,11.11,9442093,42.82,31.1471,75.3412
Punjab,2020-02-29, M,10.97,9229047,41.72,31.1471,75.3412
Punjab,2020-03-31, M,10.32,9975485,44.69,31.1471,75.3412
Punjab,2020-04-30, M,2.86,7020565,28.99,31.1471,75.3412
Punjab,2020-05-31, M,28.33,6872938,38.39,31.1471,75.3412
Punjab,2020-06-30, M,16.55,8390766,40.18,31.1471,75.3412
Punjab,2020-07-31, M,9.19,9732417,42.76,31.1471,75.3412
Punjab,2020-08-31, M,10.99,9386169,41.99,31.1471,75.3412
Punjab,2020-09-30, M,9.61,8980432,39.5,31.1471,75.3412
Punjab,2020-10-31, M,9.88,8800430,38.75,31.1471,75.3412
Rajasthan,2020-01-31, M,10.97,20641716,40.51,27.0238,74.2179
Rajasthan,2020-02-29, M,15.16,20328915,41.77,27.0238,74.2179
Rajasthan,2020-03-31, M,11.9,20024680,39.54,27.0238,74.2179
Rajasthan,2020-04-30, M,17.7,15984142,33.71,27.0238,74.2179
Rajasthan,2020-05-31, M,15.74,19826602,40.74,27.0238,74.2179
Rajasthan,2020-06-30, M,14.39,20506612,41.38,27.0238,74.2179
Rajasthan,2020-07-31, M,15.81,19932393,40.8,27.0238,74.2179
Rajasthan,2020-08-31, M,17.51,20014060,41.71,27.0238,74.2179
Rajasthan,2020-09-30, M,15.35,20149594,40.83,27.0238,74.2179
Rajasthan,2020-10-31, M,24.15,19908808,44.92,27.0238,74.2179
Sikkim,2020-03-31, M,23.57,262895,60.59,27.533,88.5122
Sikkim,2020-04-30, M,2.28,215303,38.7,27.533,88.5122
Sikkim,2020-05-31, M,24.51,193427,44.88,27.533,88.5122
Sikkim,2020-06-30, M,4.46,221058,40.4,27.533,88.5122
Sikkim,2020-07-31, M,4.45,265175,48.32,27.533,88.5122
Sikkim,2020-08-31, M,12.49,244462,48.49,27.533,88.5122
Sikkim,2020-09-30, M,5.7,231798,42.54,27.533,88.5122
Sikkim,2020-10-31, M,0.88,242068,42.13,27.533,88.5122
Tamil Nadu,2020-01-31, M,1.57,26881641,41.96,11.1271,78.6569
Tamil Nadu,2020-02-29, M,2.09,27570589,43.2,11.1271,78.6569
Tamil Nadu,2020-03-31, M,6.4,26830768,43.91,11.1271,78.6569
Tamil Nadu,2020-04-30, M,49.83,9719167,29.63,11.1271,78.6569
Tamil Nadu,2020-05-31, M,33.16,11483256,26.23,11.1271,78.6569
Tamil Nadu,2020-06-30, M,12.2,19096847,33.16,11.1271,78.6569
Tamil Nadu,2020-07-31, M,6.81,24572827,40.13,11.1271,78.6569
Tamil Nadu,2020-08-31, M,2.65,27046415,42.22,11.1271,78.6569
Tamil Nadu,2020-09-30, M,5.0,23025845,36.77,11.1271,78.6569
Tamil Nadu,2020-10-31, M,2.16,23651626,36.62,11.1271,78.6569
Telangana,2020-01-31, M,5.49,17609295,59.25,18.1124,79.0193
Telangana,2020-02-29, M,8.29,16825970,58.24,18.1124,79.0193
Telangana,2020-03-31, M,5.77,17341613,58.31,18.1124,79.0193
Telangana,2020-04-30, M,6.25,12172230,41.06,18.1124,79.0193
Telangana,2020-05-31, M,14.7,14977774,55.43,18.1124,79.0193
Telangana,2020-06-30, M,10.55,15108910,53.22,18.1124,79.0193
Telangana,2020-07-31, M,5.36,15679417,52.1,18.1124,79.0193
Telangana,2020-08-31, M,5.79,18185429,60.59,18.1124,79.0193
Telangana,2020-09-30, M,3.27,16961448,54.94,18.1124,79.0193
Telangana,2020-10-31, M,2.86,17578739,56.58,18.1124,79.0193
Tripura,2020-01-31, M,32.67,1508130,69.69,23.9408,91.9882
Tripura,2020-02-29, M,28.4,1584686,68.74,23.9408,91.9882
Tripura,2020-03-31, M,29.95,1511217,66.89,23.9408,91.9882
Tripura,2020-04-30, M,41.23,971514,51.16,23.9408,91.9882
Tripura,2020-05-31, M,21.51,1290986,50.81,23.9408,91.9882
Tripura,2020-06-30, M,21.71,1494140,58.85,23.9408,91.9882
Tripura,2020-07-31, M,18.24,1348849,50.78,23.9408,91.9882
Tripura,2020-08-31, M,27.92,1318621,56.21,23.9408,91.9882
Tripura,2020-09-30, M,17.35,1368244,50.77,23.9408,91.9882
Tripura,2020-10-31, M,11.57,1576529,54.58,23.9408,91.9882
Uttar Pradesh,2020-01-31, M,7.58,59433759,39.63,26.8467,80.9462
Uttar Pradesh,2020-02-29, M,8.98,58060531,39.23,26.8467,80.9462
Uttar Pradesh,2020-03-31, M,10.11,56976338,38.89,26.8467,80.9462
Uttar Pradesh,2020-04-30, M,21.54,50915056,39.73,26.8467,80.9462
Uttar Pradesh,2020-05-31, M,20.41,49801902,38.22,26.8467,80.9462
Uttar Pradesh,2020-06-30, M,9.47,55380649,37.29,26.8467,80.9462
Uttar Pradesh,2020-07-31, M,5.56,56201654,36.19,26.8467,80.9462
Uttar Pradesh,2020-08-31, M,5.79,55831744,35.96,26.8467,80.9462
Uttar Pradesh,2020-09-30, M,4.18,56106836,35.45,26.8467,80.9462
Uttar Pradesh,2020-10-31, M,3.75,56539521,35.49,26.8467,80.9462
Uttarakhand,2020-01-31, M,5.49,2711639,32.99,30.0668,79.0193
Uttarakhand,2020-02-29, M,4.99,3020931,36.48,30.0668,79.0193
Uttarakhand,2020-03-31, M,19.85,2539302,36.27,30.0668,79.0193
Uttarakhand,2020-04-30, M,6.48,2720115,33.23,30.0668,79.0193
Uttarakhand,2020-05-31, M,8.01,2694072,33.38,30.0668,79.0193
Uttarakhand,2020-06-30, M,8.61,2656071,33.06,30.0668,79.0193
Uttarakhand,2020-07-31, M,12.38,2938552,38.07,30.0668,79.0193
Uttarakhand,2020-08-31, M,14.26,2717528,35.9,30.0668,79.0193
Uttarakhand,2020-09-30, M,22.26,2695230,39.18,30.0668,79.0193
Uttarakhand,2020-10-31, M,9.23,2739309,34.03,30.0668,79.0193
West Bengal,2020-01-31, M,6.94,35820789,47.35,22.9868,87.855
West Bengal,2020-02-29, M,4.92,36964178,47.74,22.9868,87.855
West Bengal,2020-03-31, M,6.92,35903917,47.27,22.9868,87.855
West Bengal,2020-04-30, M,17.41,26938836,39.9,22.9868,87.855
West Bengal,2020-05-31, M,17.41,28356675,41.92,22.9868,87.855
West Bengal,2020-06-30, M,7.29,30726310,40.39,22.9868,87.855
West Bengal,2020-07-31, M,6.83,35372506,46.17,22.9868,87.855
West Bengal,2020-08-31, M,14.87,33298644,47.48,22.9868,87.855
West Bengal,2020-09-30, M,9.35,35707239,47.73,22.9868,87.855
West Bengal,2020-10-31, M,9.98,33962549,45.63,22.9868,87.855
